"1","168414","3"
"1","201872","4"
"1","92913","2"
"1","152385","3"
"1","177535","1"
"1","23368","3"
"1","94931","4"
"1","37380","5"
"1","85132","2"
"1","168776","3"
"1","29161","1"
"1","47868","3"
"1","168823","3"
"1","61201","4"
"1","106469","2"
"1","2849","4"
"1","103009","1"
"1","87066","3"
"1","122991","4"
"1","130743","4"
"1","123576","1"
"1","46775","3"
"1","116029","1"
"1","175042","2"
"1","203089","4"
"1","143082","5"
"1","106278","4"
"1","71264","2"
"1","129093","1"
"1","16217","1"
"1","175517","5"
"1","166879","3"
"1","56677","2"
"1","76191","4"
"1","26372","1"
"1","5806","5"
"1","65153","1"
"1","60214","2"
"1","187065","5"
"1","79336","2"
"1","169727","4"
"1","206130","4"
"1","19553","3"
"1","49097","2"
"1","80682","3"
"1","98346","4"
"1","102332","4"
"1","147470","4"
"1","16782","1"
"1","114307","4"
"1","26698","3"
"1","132153","2"
"1","183646","1"
"1","104586","4"
"1","38949","2"
"1","46410","2"
"1","158513","3"
"1","60912","2"
"1","45004","2"
"1","4082","5"
"1","76855","5"
"1","4458","5"
"1","93179","3"
"1","34786","2"
"1","39540","1"
"1","179197","3"
"1","90303","4"
"1","129619","5"
"1","4390","4"
"1","199131","2"
"1","100945","1"
"1","67718","3"
"1","37613","2"
"1","110628","4"
"1","148394","5"
"1","61343","3"
"1","61544","5"
"1","149629","4"
"1","72498","3"
"1","3077","2"
"1","196804","2"
"1","115059","1"
"1","25875","3"
"1","170111","1"
"1","99769","5"
"1","76757","1"
"1","186129","1"
"1","82099","4"
"1","115466","4"
"1","116572","3"
"1","114877","1"
"1","53448","2"
"1","97659","5"
"1","160958","3"
"1","119956","3"
"1","76911","5"
"1","96554","5"
"1","137265","5"
"1","143477","4"
"1","31087","3"
"1","80501","1"
"1","89838","4"
"1","76693","2"
"1","176112","5"
"1","145857","2"
"1","156699","5"
"1","185432","3"
"1","203919","5"
"1","195387","3"
"1","171459","5"
"1","21218","3"
"1","3367","3"
"1","184950","3"
"1","10584","4"
"1","54788","2"
"1","16034","1"
"1","129535","2"
"1","27239","2"
"1","11501","2"
"1","206937","4"
"1","61995","3"
"1","205101","1"
"1","202492","4"
"1","50528","4"
"1","55891","1"
"1","182901","4"
